,PC1,PC2,PC3,PC4,PC5,0.04828838,0.048290016,0.048297216,0.048332955,0.048465466,0.0489091,0.05001016,0.052172491,0.055739877,0.061017424,0.06816433,0.07728669,0.08830627,0.1016183,0.11760686,0.13670004,0.15941771,0.1853858,0.21838626,0.2561607,0.2978192,0.34116399,0.38319943,0.42405529,0.45676376,0.47991135,0.49477629,0.50310958,0.50834068,0.51104018,0.51233648,0.51291138,0.51317305,0.51331394,0.51336938,0.51338936
1,0.143448284,0.23044409,-0.149481072,0.135031816,-0.099519348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.143450689,0.230439766,-0.149464478,0.134987376,-0.099461647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.143461266,0.23042074,-0.149391525,0.134792033,-0.099207895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.143513718,0.230326295,-0.14902996,0.133824546,-0.097950478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.143707591,0.22997602,-0.14769341,0.130256548,-0.093315637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.144350254,0.228802103,-0.14324774,0.118480708,-0.078091103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.145832147,0.225949966,-0.134427425,0.095373296,-0.049192609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.148663763,0.22027683,-0.115769992,0.049010577,0.007616428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.15297457,0.210865665,-0.085205356,-0.02074272,0.088042396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.15855512,0.196980768,-0.042103771,-0.106591061,0.175550081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.164789854,0.17849281,0.011694226,-0.193528615,0.243903612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.170930398,0.155780098,0.072595767,-0.26392228,0.267681138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.176198549,0.12999335,0.137886328,-0.308521237,0.221024877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.180299696,0.101673346,0.200680783,-0.308675051,0.108584488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.183091928,0.071807302,0.254783818,-0.257601057,-0.050978314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.184672865,0.04154607,0.293671774,-0.161440056,-0.207758598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.185346987,0.011889031,0.311684532,-0.04070455,-0.288344959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.185356267,-0.015619913,0.308941877,0.071404558,-0.267546187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.184546278,-0.044586051,0.289890684,0.211820462,-0.224965315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.183299349,-0.071103971,0.248188777,0.302900895,-0.060233514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.181610157,-0.094763846,0.188839847,0.330961557,0.145591427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.179459245,-0.115067384,0.118923635,0.295794072,0.301673166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.1768976,-0.1317299,0.047116035,0.213018013,0.356118063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.173802673,-0.146064936,-0.015821923,0.141867698,0.300308509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.171044463,-0.156204279,-0.065763939,0.066732819,0.193500169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.168945592,-0.162728692,-0.100505294,0.00493852,0.086400351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.167543706,-0.166635625,-0.122161265,-0.037684057,0.008160564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.166755897,-0.168710915,-0.133557581,-0.061702673,-0.03290904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.166223356,-0.170024154,-0.141709424,-0.078937753,-0.072269893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.165946094,-0.170691388,-0.145882107,-0.087921615,-0.092926564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.16581326,-0.171008261,-0.147848677,-0.092195694,-0.10259584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.165755449,-0.171146937,-0.148679269,-0.094008353,-0.106449892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.165730369,-0.171208598,-0.14901569,-0.094742604,-0.107743968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.165715614,-0.171243121,-0.149237889,-0.095229263,-0.108902944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.165709806,-0.171256703,-0.149325324,-0.095420829,-0.109359361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.165707712,-0.171261598,-0.149356836,-0.095489879,-0.109523901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
